data_date,network_fee_withdrawn,operator_fee_withdrawn,total_fee_withdrawn,accumulated_network_fee_withdrawn,accumulated_operator_fee_withdrawn,accumulated_total_fee_withdrawn
2024-01-02,0,0,0,0,131.29711173384,131.29711173384
2024-01-01,0,0,0,0,131.29711173384,131.29711173384
2023-12-31,0,0,0,0,131.29711173384,131.29711173384
2023-12-30,0,0,0,0,131.29711173384,131.29711173384
2023-12-29,0,0,0,0,131.29711173384,131.29711173384
2023-12-28,0,0,0,0,131.29711173384,131.29711173384
2023-12-27,0,0,0,0,131.29711173384,131.29711173384
2023-12-26,0,0,0,0,131.29711173384,131.29711173384
2023-12-25,0,0,0,0,131.29711173384,131.29711173384
2023-12-24,0,0,0,0,131.29711173384,131.29711173384
2023-12-23,0,0,0,0,131.29711173384,131.29711173384
2023-12-22,0,0,0,0,131.29711173384,131.29711173384
2023-12-21,0,0,0,0,131.29711173384,131.29711173384
2023-12-20,0,0,0,0,131.29711173384,131.29711173384
2023-12-19,0,0,0,0,131.29711173384,131.29711173384
2023-12-18,0,0,0,0,131.29711173384,131.29711173384
2023-12-17,0,0,0,0,131.29711173384,131.29711173384
2023-12-16,0,0,0,0,131.29711173384,131.29711173384
2023-12-15,0,0,0,0,131.29711173384,131.29711173384
2023-12-14,0,0,0,0,131.29711173384,131.29711173384
2023-12-13,0,0,0,0,131.29711173384,131.29711173384
2023-12-12,0,114.3811049058,114.3811049058,0,131.29711173384,131.29711173384
2023-12-11,0,0,0,0,16.91600682804,16.91600682804
2023-12-10,0,0,0,0,16.91600682804,16.91600682804
2023-12-09,0,0,0,0,16.91600682804,16.91600682804
2023-12-08,0,0,0,0,16.91600682804,16.91600682804
2023-12-07,0,0,0,0,16.91600682804,16.91600682804
2023-12-06,0,0,0,0,16.91600682804,16.91600682804
2023-12-05,0,0,0,0,16.91600682804,16.91600682804
2023-12-04,0,0,0,0,16.91600682804,16.91600682804
2023-12-03,0,0,0,0,16.91600682804,16.91600682804
2023-12-02,0,0,0,0,16.91600682804,16.91600682804
2023-12-01,0,9.91631782524,9.91631782524,0,16.91600682804,16.91600682804
2023-11-30,0,0,0,0,6.9996890028,6.9996890028
2023-11-29,0,0,0,0,6.9996890028,6.9996890028
2023-11-28,0,0,0,0,6.9996890028,6.9996890028
2023-11-27,0,0,0,0,6.9996890028,6.9996890028
2023-11-26,0,0,0,0,6.9996890028,6.9996890028
2023-11-25,0,0,0,0,6.9996890028,6.9996890028
2023-11-24,0,0,0,0,6.9996890028,6.9996890028
2023-11-23,0,0,0,0,6.9996890028,6.9996890028
